"";"genes";"logFC";"AveExpr";"t";"P.Value";"adj.P.Val";"B"
"YALI1_D07252g";"YALI1_D07252g";1,68020511655857;8,85266540308701;14,6840138477345;2,92774144246072e-17;9,00866041845165e-14;28,7699225305994
"YALI1_E28097g";"YALI1_E28097g";1,49811157064865;4,38718385456606;10,4522943449075;9,67820986404111e-13;1,48899258758272e-09;18,5139049849697
"YALI1_D07257g";"YALI1_D07257g";1,68438580146561;6,14905180357236;9,78304033099655;6,16577404202925e-12;6,324028909108e-09;16,5084859565601
"YALI1_B05639g";"YALI1_B05639g";1,49681431975393;5,43109600402108;7,57995921424006;4,05763592879543e-09;3,12133643822589e-06;10,7175163061244
"YALI1_C01505g";"YALI1_C01505g";2,76177812894191;7,63918065955323;6,69880600384449;6,26105190617796e-08;3,85305134306191e-05;5,37437908726477
"YALI1_C08275g";"YALI1_C08275g";-0,490584438276846;14,9029295067612;-6,38497550809927;1,67973028675188e-07;8,61421682055921e-05;6,7538636064769
"YALI1_E09522g";"YALI1_E09522g";-0,375752302284875;11,7000340939633;-5,97250764356242;6,17780303134569e-07;0,000271558570392153;5,85920871063792
"YALI1_F18857g";"YALI1_F18857g";-0,562946486499968;11,9654606271299;-5,92746492618082;7,12321847802862e-07;0,000273976790711176;5,6624888896379
"YALI1_A01298g";"YALI1_A01298g";1,51198979700272;7,15380779674065;5,66370270598585;1,63977268206959e-06;0,000560620060303126;4,32116747672134
"YALI1_E28052g";"YALI1_E28052g";0,961624739489686;4,17686702216361;5,46182434393795;3,10165268151959e-06;0,000954378530103576;4,43211065461076
"YALI1_D11114g";"YALI1_D11114g";0,517627538339765;10,3307169655661;5,38360735944451;3,9690036108789e-06;0,00107087776838605;4,18028151418083
"YALI1_E18171g";"YALI1_E18171g";-0,259281326936206;13,4839341161558;-5,36744616108178;4,17631888873338e-06;0,00107087776838605;3,66307832733094
"YALI1_F03371g";"YALI1_F03371g";-0,395549535573037;13,3993220428031;-5,3204136539293;4,84298833630094e-06;0,001146298085446;3,63454940927472
"YALI1_D12513g";"YALI1_D12513g";-0,412430458391603;14,845818846223;-5,02318467657299;1,23090640932028e-05;0,00270535644391322;2,59086318314396
"YALI1_F15891g";"YALI1_F15891g";-0,452982036038396;9,68462147464942;-4,96926000048658;1,45682573778117e-05;0,00296034988867961;2,96989470554861
"YALI1_B09994g";"YALI1_B09994g";0,38630631099554;10,902656598855;4,95161028035546;1,53934345852693e-05;0,00296034988867961;2,75065307261665
"YALI1_B23447g";"YALI1_B23447g";0,650895753470733;9,148464515816;4,85896313520461;2,05457215867647e-05;0,00371877560720441;2,66187913544309
