"";"geneset";"up";"dn";"tot";"rank";"highup";"highdown";"lowup";"lowdown"
"1";"cell tip";5;0;5;"8";0;0;5;0
"2";"cyclin-dependent protein kinase holoenzyme complex";5;2;7;"4";0;0;5;2
"3";"endosome membrane";6;4;10;"21";0;0;6;4
"4";"extracellular region";13;16;29;"19";0;0;13;16
"5";"fungal-type cell wall";6;14;20;"23";0;0;6;14
"6";"intracellular organelle";12;6;18;"24";0;0;12;6
"7";"kinetochore";7;7;14;"14";0;0;7;7
"8";"large ribosomal subunit";4;1;5;"2";0;0;4;1
"9";"mediator complex";3;6;9;"25";0;0;3;6
"10";"nuclear envelope";9;3;12;"6";0;0;9;3
"11";"nucleoplasm";15;5;20;"3";0;0;15;5
"12";"preribosome, large subunit precursor";10;4;14;"15";0;0;10;4
"13";"proteasome regulatory particle, base subcomplex";3;2;5;"3";0;0;3;2
"14";"small-subunit processome";9;8;17;"13";0;0;9;8
"15";"All";1656;1421;3077;"";10;13;1646;1408
